file_name	file_id
dc_01_bjs99003.mid	id_00607
dc_01_bjs99004.mid	id_00608
dc_01_bjs99005.mid	id_00609
dc_01_bjs99006.mid	id_00610
dc_01_bjs99007.mid	id_00611
dc_01_bjs99008.mid	id_00612
dc_01_bjs99009.mid	id_00613
dc_01_bjs99010.mid	id_00614
dc_01_bjs99011.mid	id_00615
dc_01_bjs99012.mid	id_00616
dc_01_bjs99013.mid	id_00617
dc_01_bjs99014.mid	id_00618
dc_01_bjs99015.mid	id_00619
dc_01_bjs99016.mid	id_00620
dc_01_bjs994.mid	id_00621
dc_01_bjs996pr.mid	id_00622
dc_01_bjs998a.mid	id_00623
dc_01_bjs998f.mid	id_00624
dc_01_bjs998p.mid	id_00625
dc_01_bjsair.mid	id_00626
dc_01_bjsbmm01.mid	id_00627
dc_01_bjsbmm02.mid	id_00628
dc_01_bjsbmm03.mid	id_00629
dc_01_bjsbmm04.mid	id_00630
dc_01_bjsbmm05.mid	id_00631
dc_01_bjsbmm06.mid	id_00632
dc_01_bjsbmm07.mid	id_00633
dc_01_bjsbmm08.mid	id_00634
dc_01_bjsbmm09.mid	id_00635
dc_01_bjsbmm10.mid	id_00636
dc_01_bjsbmm11.mid	id_00637
dc_01_bjsbmm12.mid	id_00638
dc_01_bjsbmm13.mid	id_00639
dc_01_bjsbmm14.mid	id_00640
dc_01_bjsbmm16.mid	id_00641
dc_01_bjsbmm17.mid	id_00642
dc_01_bjsbmm18.mid	id_00643
dc_01_bjsbmm19.mid	id_00644
dc_01_bjsbmm20.mid	id_00645
dc_01_bjsbmm21.mid	id_00646
dc_01_bjsbmm22.mid	id_00647
dc_01_bjsbmm23.mid	id_00648
dc_01_bjscfsin.mid	id_00649
dc_01_bjseng31.mid	id_00650
dc_01_bjseng32.mid	id_00651
dc_01_bjseng33.mid	id_00652
dc_01_bjseng34.mid	id_00653
dc_01_bjseng35.mid	id_00654
dc_01_bjseng36.mid	id_00655
dc_01_bjseng56.mid	id_00656
dc_01_bjsfanam.mid	id_00657
dc_01_bjsfncp1.mid	id_00658
dc_01_bjsfncp2.mid	id_00659
dc_01_bjsfncp3.mid	id_00660
dc_01_bjsfncp4.mid	id_00661
dc_01_bjsfnem1.mid	id_00662
dc_01_bjsfnem2.mid	id_00663
dc_01_bjsfnem3.mid	id_00664
dc_01_bjsfnem4.mid	id_00665
dc_01_bjsfnep1.mid	id_00666
dc_01_bjsfnep2.mid	id_00667
dc_01_bjsfnep3.mid	id_00668
dc_01_bjsfnep4.mid	id_00669
dc_01_bjsgig.mid	id_00670
dc_01_bjsgmf00.mid	id_00671
dc_01_bjsgmf01.mid	id_00672
dc_01_bjsgmf02.mid	id_00673
dc_01_bjsgmf03.mid	id_00674
dc_01_bjsgmf04.mid	id_00675
dc_01_bjsgmf05.mid	id_00676
dc_01_bjsgmf06.mid	id_00677
dc_01_bjsgmf07.mid	id_00678
dc_01_bjsgmf08.mid	id_00679
dc_01_bjsgmf09.mid	id_00680
dc_01_bjsgmf10.mid	id_00681
dc_01_bjsgmf11.mid	id_00682
dc_01_bjsgmf12.mid	id_00683
dc_01_bjsgmf13.mid	id_00684
dc_01_bjsgva00.mid	id_00685
dc_01_bjsgva01.mid	id_00686
dc_01_bjsgva02.mid	id_00687
dc_01_bjsgva03.mid	id_00688
dc_01_bjsgva04.mid	id_00689
dc_01_bjsgva05.mid	id_00690
dc_01_bjsgva06.mid	id_00691
dc_01_bjsgva07.mid	id_00692
dc_01_bjsgva08.mid	id_00693
dc_01_bjsgva09.mid	id_00694
dc_01_bjsgva10.mid	id_00695
dc_01_bjsgva11.mid	id_00696
dc_01_bjsgva12.mid	id_00697
dc_01_bjsgva13.mid	id_00698
dc_01_bjsgva14.mid	id_00699
dc_01_bjsgva15.mid	id_00700
dc_01_bjsgva16.mid	id_00701
dc_01_bjsgva17.mid	id_00702
dc_01_bjsgva18.mid	id_00703
dc_01_bjsgva19.mid	id_00704
dc_01_bjsgva20.mid	id_00705
dc_01_bjsgva21.mid	id_00706
dc_01_bjsgva22.mid	id_00707
dc_01_bjsgva23.mid	id_00708
dc_01_bjsgva24.mid	id_00709
dc_01_bjsgva25.mid	id_00710
dc_01_bjsgva26.mid	id_00711
dc_01_bjsgva27.mid	id_00712
dc_01_bjsgva28.mid	id_00713
dc_01_bjsgva29.mid	id_00714
dc_01_bjsgva30.mid	id_00715
dc_01_bjsgva31.mid	id_00716
dc_01_bjshfam2.mid	id_00717
dc_01_bjshfam3.mid	id_00718
